Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (CZK),Total (CZK),ID,Currency conversion fee (CZK)
Market buy,2022-05-27 15:27:49,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.2853550000,75.86,USD,0.04335,,500.00,EOF1926032870,0.75
Market buy,2022-06-08 07:11:37,IE00BFXR7892,KWEB,"KraneShares CSI China Internet (Acc)",0.9674590000,22.28,USD,0.04317,,500.00,EOF1939456565,0.75
Market buy,2022-06-13 14:27:07,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.6059340000,69.44,USD,0.04213,,1000.00,EOF1945421960,1.50
Market buy,2022-06-29 08:38:02,DE0007236101,SIE,"Siemens",0.1413322000,102.98,EUR,0.04048,,360.05,EOF1962702706,0.54
Market buy,2022-06-29 08:38:47,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.2156870000,70.52,USD,0.04251,,358.28,EOF1962702733,0.54
Market buy,2022-06-29 08:39:49,IE00BQT3WG13,CNYA,"iShares MSCI China A (Acc)",1.2205900000,5.57,USD,0.04251,,160.00,EOF1962702781,0.24
Market buy,2022-06-29 13:30:09,US02079K1079,GOOG,"Alphabet (Class C)",0.0027583000,2247.61,USD,0.04242,,146.34,EOF1962712687,0.22
Market buy,2022-07-15 07:00:33,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.1464500000,69.79,USD,0.04094,,249.99,EOF1979366320,0.37
Market buy,2022-07-15 13:30:05,US8740391003,TSM,"Taiwan Semiconductor",0.1200190000,85.50,USD,0.04110,,249.99,EOF1979384878,0.37
Market buy,2022-07-20 07:00:31,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.5741200000,72.80,USD,0.04185,,1000.00,EOF1983455939,1.50
Market buy,2022-07-27 08:19:11,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.1133290000,73.04,USD,0.04124,,201.00,EOF1990542767,0.30
Market buy,2022-07-27 13:30:07,US5949181045,MSFT,"Microsoft",0.1074207000,260.97,USD,0.04128,,680.00,EOF1990552322,1.02
Market buy,2022-07-27 13:30:08,US67066G1040,NVDA,"Nvidia",0.1027257000,170.56,USD,0.04128,,425.00,EOF1991552732,0.64
Market buy,2022-07-27 13:30:09,US02079K1079,GOOG,"Alphabet (Class C)",0.2634480000,109.54,USD,0.04128,,700.00,EOF1991552928,1.05
Market buy,2022-08-05 10:20:38,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.2714960000,76.52,USD,0.04161,,500.00,EOF2003580073,0.75
Market buy,2022-08-26 07:03:53,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.2603820000,77.40,USD,0.04036,,500.00,EOF2028776437,0.75
Market buy,2022-08-31 07:32:23,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.5516060000,73.91,USD,0.04083,,1000.00,EOF2034472611,1.50
Market buy,2022-09-20 18:51:50,US5949181045,MSFT,"Microsoft",0.0857970000,241.45,USD,0.04046,,512.74,EOF2058369423,0.77
Market buy,2022-10-05 08:08:17,IE00BFMXXD54,VUAA,"Vanguard S&P 500 (Acc)",0.2905380000,69.61,USD,0.04050,,500.00,EOF2079698011,0.75
Market buy,2022-10-28 15:35:15,US02079K1079,GOOG,"Alphabet (Class C)",0.2140990000,94.63,USD,0.04058,,500.00,EOF2114136089,0.75
